employer,industry,careers_url,ats,why_relevant,last_checked,check_status,current_matching_jobs
NBCUniversal,studio/streamer,https://jobs.smartrecruiters.com/NBCUniversal3,smartrecruiters,"produced 15 matching posting(s); best score 63; families: physical_production,entertainment_development",2026-09-06T13:56:11Z,ok_via_search,15
The New York Times,publisher,https://job-boards.greenhouse.io/thenewyorktimes,greenhouse,"produced 5 matching posting(s); best score 69; families: physical_production,research_writing,freedom_professional",2026-09-06T13:56:11Z,ok_via_search,5
AMC Networks,television network,https://amcn.wd5.myworkdayjobs.com/amcnetworks,workday,"produced 4 matching posting(s); best score 63; families: entertainment_development,freedom_professional,content_media",2026-09-06T13:56:11Z,ok_via_search,4
AMC Networks,television network,https://amcn.wd5.myworkdayjobs.com/amcnetworks,workday,"produced 4 matching posting(s); best score 63; families: entertainment_development,freedom_professional,content_media",2026-09-06T13:56:11Z,ok_via_search,4
City of New York,government,https://jobs.smartrecruiters.com/CityOfNewYork,smartrecruiters,"produced 4 matching posting(s); best score 73; families: research_writing,freedom_professional",2026-09-06T13:56:11Z,ok_via_search,4
Conde Nast,publisher,https://condenast.wd5.myworkdayjobs.com/CondeCareers,workday,"produced 4 matching posting(s); best score 65; families: physical_production,research_writing",2026-09-06T13:56:11Z,ok_via_search,4
A24,film studio,https://job-boards.greenhouse.io/a24,greenhouse,"produced 3 matching posting(s); best score 60; families: freedom_professional,physical_production",2026-09-06T13:56:11Z,ok_via_search,3
ElevenLabs,ai media startup,https://jobs.ashbyhq.com/elevenlabs,ashby,produced 2 matching posting(s); best score 62; families: ai_creative_production,2026-09-06T13:56:11Z,ok_via_search,2
Film at Lincoln Center,film nonprofit,UNRESOLVED,UNKNOWN,produced 2 matching posting(s); best score 71; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,2
Vox Media,publisher,https://job-boards.greenhouse.io/voxmedia,greenhouse,"produced 2 matching posting(s); best score 63; families: physical_production,freedom_professional",2026-09-06T13:56:11Z,ok_via_search,2
Film at Lincoln Center,film nonprofit,UNRESOLVED,UNKNOWN,produced 2 matching posting(s); best score 71; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,2
Publicis Groupe,creative agency,https://jobs.smartrecruiters.com/PublicisGroupe,smartrecruiters,produced 2 matching posting(s); best score 61; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,2
Research Foundation CUNY,university,https://rfcuny.wd108.myworkdayjobs.com/RFCUNY,workday,produced 2 matching posting(s); best score 70; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,2
Scorpion Enterprises,discovered via posting,https://job-boards.greenhouse.io/scorpionenterprisesllc,greenhouse,produced 2 matching posting(s); best score 67; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,2
Vocal Media,discovered via posting,https://jobs.lever.co/get-vocal-pbc,lever,"produced 2 matching posting(s); best score 70; families: research_writing,ai_creative_production",2026-09-06T13:56:11Z,ok_via_search,2
Fox Corporation,television network,https://fox.wd1.myworkdayjobs.com/Domestic,workday,produced 1 matching posting(s); best score 58; families: content_media,2026-09-06T13:56:11Z,ok_via_search,1
Luma AI,generative video company,https://jobs.ashbyhq.com/lumaai,ashby,produced 1 matching posting(s); best score 61; families: ai_creative_production,2026-09-06T13:56:11Z,ok_via_search,1
PBS,public media,https://vhr-pbs.wd115.myworkdayjobs.com/PBSCareers,workday,produced 1 matching posting(s); best score 74; families: content_media,2026-09-06T13:56:11Z,ok_via_search,1
WGSN,trend research,https://jobs.lever.co/wgsn,lever,produced 1 matching posting(s); best score 64; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
Assist World,discovered via posting,https://jobs.lever.co/assist-world,lever,produced 1 matching posting(s); best score 67; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
Avoca,discovered via posting,https://jobs.ashbyhq.com/avoca,ashby,produced 1 matching posting(s); best score 62; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
BARK,discovered via posting,https://job-boards.greenhouse.io/bark,greenhouse,produced 1 matching posting(s); best score 61; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,1
BaubleBar,discovered via posting,https://job-boards.greenhouse.io/baublebar,greenhouse,produced 1 matching posting(s); best score 55; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,1
Bustle Digital Group,publisher,https://jobs.lever.co/bustle,lever,produced 1 matching posting(s); best score 60; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,1
Cato Institute,research organisation,https://jobs.lever.co/standtogether,lever,produced 1 matching posting(s); best score 80; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
Cohere,discovered via posting,https://jobs.ashbyhq.com/cohere,ashby,produced 1 matching posting(s); best score 71; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Complex,publisher,https://jobs.lever.co/Complex,lever,produced 1 matching posting(s); best score 62; families: entertainment_development,2026-09-06T13:56:11Z,ok_via_search,1
Deeplocal,discovered via posting,https://job-boards.greenhouse.io/deeplocal,greenhouse,produced 1 matching posting(s); best score 67; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Dow Jones,publisher,https://dowjones.wd1.myworkdayjobs.com/dow_jones_career,workday,produced 1 matching posting(s); best score 44; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,1
Epoch AI,discovered via posting,https://jobs.lever.co/epoch-ai,lever,produced 1 matching posting(s); best score 60; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Fuku,discovered via posting,https://apply.workable.com/fuku/,workable,produced 1 matching posting(s); best score 73; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
G-P (Globalization Partners),discovered via posting,https://job-boards.greenhouse.io/globalizationpartners,greenhouse,produced 1 matching posting(s); best score 77; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
GiveWell,research organisation,https://job-boards.greenhouse.io/givewell,greenhouse,produced 1 matching posting(s); best score 78; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
Heritage Werks,archival research,https://apply.workable.com/heritage-werks-inc/,workable,produced 1 matching posting(s); best score 70; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
Instructure,discovered via posting,https://jobs.ashbyhq.com/instructure,ashby,produced 1 matching posting(s); best score 68; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Muck Rack,media research,https://job-boards.greenhouse.io/muckrack,greenhouse,produced 1 matching posting(s); best score 79; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
NPR,public media,https://job-boards.greenhouse.io/nationalpublicradioinc,greenhouse,produced 1 matching posting(s); best score 34; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Nen Creative,discovered via posting,https://jobs.ashbyhq.com/nen-creative,ashby,produced 1 matching posting(s); best score 68; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Newsela,discovered via posting,https://job-boards.greenhouse.io/newsela,greenhouse,produced 1 matching posting(s); best score 65; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,1
Newsweek,publisher,https://job-boards.greenhouse.io/newsweek,greenhouse,produced 1 matching posting(s); best score 57; families: content_media,2026-09-06T13:56:11Z,ok_via_search,1
One Impression,discovered via posting,https://jobs.lever.co/oneimpression,lever,produced 1 matching posting(s); best score 67; families: ai_creative_production,2026-09-06T13:56:11Z,ok_via_search,1
Promise Studios,generative video company,https://jobs.ashbyhq.com/promise-studios,ashby,produced 1 matching posting(s); best score 62; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,1
Remote.com,discovered via posting,https://job-boards.greenhouse.io/remotecom,greenhouse,produced 1 matching posting(s); best score 71; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Rockstar Games,entertainment technology,https://job-boards.greenhouse.io/rockstargames,greenhouse,produced 1 matching posting(s); best score 62; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
SPMB,discovered via posting,https://jobs.lever.co/spmb,lever,produced 1 matching posting(s); best score 64; families: research_writing,2026-09-06T13:56:11Z,ok_via_search,1
Sonar,discovered via posting,https://jobs.lever.co/sonarsource,lever,produced 1 matching posting(s); best score 68; families: ai_creative_production,2026-09-06T13:56:11Z,ok_via_search,1
Staten Island Museum,museum,UNRESOLVED,UNKNOWN,produced 1 matching posting(s); best score 76; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Superside,discovered via posting,https://jobs.lever.co/superside,lever,produced 1 matching posting(s); best score 73; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
TSMG,discovered via posting,https://jobs.lever.co/tsmg,lever,produced 1 matching posting(s); best score 70; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Tailscale,discovered via posting,https://job-boards.greenhouse.io/tailscale,greenhouse,produced 1 matching posting(s); best score 75; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
TubeScience,discovered via posting,https://job-boards.greenhouse.io/tubescience52,greenhouse,produced 1 matching posting(s); best score 63; families: content_media,2026-09-06T13:56:11Z,ok_via_search,1
Universal Music Group,music company,https://umusic.wd5.myworkdayjobs.com/UMGUS,workday,produced 1 matching posting(s); best score 62; families: freedom_professional,2026-09-06T13:56:11Z,ok_via_search,1
Valerie Group,discovered via posting,https://jobs.ashbyhq.com/valerie-group,ashby,produced 1 matching posting(s); best score 66; families: ai_creative_production,2026-09-06T13:56:11Z,ok_via_search,1
Versant,television network,https://jobs.smartrecruiters.com/Versant3,smartrecruiters,produced 1 matching posting(s); best score 60; families: physical_production,2026-09-06T13:56:11Z,ok_via_search,1
Vevo,music media,https://jobs.lever.co/vevo,lever,produced 1 matching posting(s); best score 70; families: entertainment_development,2026-09-06T13:56:11Z,ok_via_search,1
Wabi,discovered via posting,https://jobs.ashbyhq.com/wabi,ashby,produced 1 matching posting(s); best score 61; families: ai_creative_production,2026-09-06T13:56:11Z,ok_via_search,1
