role_id,role_title,company,role_family,location,work_mode,evidence_level,required_software,preferred_software,ai_workflow_requirements,motion_requirements,filmmaking_requirements,coding_requirements,3d_requirements,yoe,portfolio_expectation,portfolio_substitutes_yoe,production_responsibilities,comp_signal,course_alignment,source
R01,Creative Technologist,Wonder Studios,AI Creative Technologist,New York NY / Los Angeles CA,Onsite/Hybrid,named-listing,Generative AI suite; Canva; Notion; Google Slides,ComfyUI; Runway; Kling; Flux; Nano Banana; Veo,Demonstrated use of genAI tools in creative production; AI-integrated workflows,Art direction across motion,Storytelling across still/motion/interactive,Not stated,Not stated,Not stated,Portfolio demonstrating visual design; conceptual thinking; AI-integrated workflows,Strongly implied,Translate briefs into AI imagery/video for clients; collaborate with designers/architects,Not disclosed,DIRECT - core target role,builtinnyc.com/job/creative-technologist/8006827
R02,AI Artist,Wonder Studios,AI Artist,New York NY / Los Angeles CA,Onsite/Hybrid,named-listing,Generative AI suite,Premiere Pro; Final Cut; After Effects; Blender; Cinema 4D; Nuke; DaVinci Resolve; ComfyUI,Fluency in prompt engineering; STRUCTURED EFFICIENT REPEATABLE outputs across image/video/production systems; node-based AI workflows,Motion output expected,Strong visual taste; conceptual thinking,Not stated,Blender/C4D familiarity preferred,Not stated,Work reflecting visual taste and AI-driven workflows,Strongly implied,Create high-quality AI imagery and video for commercial projects; develop AI production workflows,Not disclosed,DIRECT - core target role,builtinnyc.com/job/creative-technologist/8163137
R03,"AI Artist, Creative Technologist",Publicis Groupe,AI Creative Technologist,New York NY,Hybrid,named-listing,ComfyUI; image+video gen platforms,Adobe GenStudio; Weavy; artlist.io,Evaluate emerging genAI video/motion/image tools; prototype and refine AI-assisted visual pipelines; build clean scalable node-based workflows; dataset curation and model testing,3-5 yrs motion design/animation/VFX/generative visual production,Creative technology / digital production background,Python; AI-assisted coding tools (Claude Code; Cursor; Lovable; v0),Not stated,3-6 years,Portfolio expected,Partial,Pipeline prototyping; tool evaluation; workflow standardisation,USD 73150-112554,DIRECT - core target role,mediabistro.com/jobs/3541096857
R04,Generative Artist - Generative Video & ComfyUI Specialist,Latent Space Media,Generative AI Artist,Remote,Remote,named-listing,ComfyUI,AI video platforms,Strong ComfyUI experience; AI video generation; prompting; WORKFLOW DESIGN,Video output,Not stated,Implied (workflow design),Not stated,Not stated,Portfolio expected,Likely,Design and run generative video workflows,Not disclosed,DIRECT - ComfyUI is the gate skill,aiartistjobs.co/jobs/generative-artist-generative-video-comfyui-specialist
R05,ComfyUI Workflow & Prompt Artist / Engineer,The Gardening Club / Sweetshop,Generative AI Artist,Not stated,Not stated,named-listing,ComfyUI,Not stated,Excel at BOTH technical and artistic side of ComfyUI workflows,Not stated,Not stated,Implied,Not stated,Not stated,Portfolio expected,Likely,Build and maintain ComfyUI workflows,Not disclosed,DIRECT - ComfyUI module,aiartistjobs.co/jobs/comfyui-workflow-prompt-artist-engineer
R06,Generative VFX Artist (Creatures & Digital Humans),Promise Studios,VFX + GenAI,Los Angeles CA,Onsite,named-listing,Stable Diffusion; ControlNet; image/video synthesis models,ComfyUI or similar node-based AI interfaces; ShotGrid,Integrate SD/ControlNet into an artistic workflow,Not stated,VFX craft,Not stated,Photogrammetry and volume capture familiarity,Not stated,Reel expected,Partial,Creature and digital human shot work in a genAI pipeline,Competitive + equity,STRETCH - ControlNet yes; creatures/digital humans beyond scope,aiartistjobs.co/jobs/promise-studios-generative-vfx-artist-creatures-digital-humans
R07,"Senior VFX Supervisor, AI & Virtual Productions",Promise Studios,AI Pipeline / Production,Los Angeles CA,Onsite,named-listing,VFX suite,AI production tooling,Supervise AI+VFX production,Not stated,Senior VFX supervision,Not stated,Virtual production,Senior,Reel + credits,No,Supervise shots and teams,Not disclosed,NOT READY - senior role; useful as market benchmark,aiartistjobs.co/jobs/promise-studios-senior-vfx-supervisor-ai-virtual-productions
R08,Gen AI Artist (feature film; 3-4 hires),Staircase Studios,Generative AI Artist,Remote,Remote FT contract,named-listing,ComfyUI,Custom style and character LoRAs (provided),Create high-quality images using ComfyUI with provided style/character LoRAs,Not stated,Feature film context,Not stated,Not stated,Not stated,Portfolio expected,Likely,Volume image production to a locked style for a feature,Not disclosed,DIRECT - LoRA USE (not training) is exactly the course scope,aiartistjobs.co/jobs/gen-ai-artist
R09,AI Artist / Creative Technologist,Leonine Studios (Mediawan),AI Creative Technologist,Munich DE,Onsite,named-listing,Generative AI production tools,ComfyUI; RunwayML; Kling; LumaLabs; open-source projects,Integrate AI tools into professional production workflows; establish new production methodologies,Not stated,Traditional filmmaking meets genAI,Creative coding / technical art,Not stated,Not stated,Portfolio expected,Likely,Drive projects independently; experiment with AI-enhanced production techniques,Not disclosed,DIRECT - non-NYC benchmark showing the professional bar,aiartistjobs.co/jobs/ai-artist-creative-technologist
R10,AI Prompt Engineer,Obsidian Studio,Generative AI Artist,Not stated,Not stated,named-listing,Generative AI platforms,Not stated,Prompt engineering for studio output,Not stated,Not stated,Not stated,Not stated,Not stated,Portfolio expected,Likely,Prompt and iterate to studio brief,Not disclosed,PARTIAL - prompt-only roles are the floor; course aims above this,aiartistjobs.co/jobs/obsidian-studio-ai-prompt-engineer
R11,AI Freelancers (Filmmaker / VFX-Editor / Content Creator),Ksar Production,AI Filmmaker,Remote,Freelance,named-listing,AI video tools; NLE,VFX tools,End-to-end AI filmmaking,Editing required,Filmmaking required,Not stated,Not stated,Not stated,Reel expected,Yes,Deliver finished AI film/VFX/edit work,Not disclosed,DIRECT - freelance entry path,aiartistjobs.co/jobs/ai-freelancers-filmmaker-vfx-editor-content-creator
