module,title,creator,url,upload_date,duration,software_version,watched_detail_level,transcript_available,visual_steps_visible,reproducibility,production_relevance,currentness,instructor_clarity,completeness,hidden_assumptions,cherry_picking_risk,gambling_risk,employer_relevance,final_score,verdict,notes
higgsfield,Higgsfield Cinema Studio 2.0 Full Tutorial | Make Multi-Shot AI Films 2026,UNKNOWN,https://www.youtube.com/watch?v=_WgYXtoiE1Y,2026-02 (approx),UNKNOWN,Cinema Studio 2.0,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,STALE-RISK-HIGH,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,VERSION LAG: platform is on Cinema Studio 3.0. Covers multi-shot which IS still relevant (cinematic_studio_video_v2 exposes multi_shots/multi_shot_mode). Audit for whether the multi-shot UI still matches.
higgsfield,Higgsfield Cinema Studio 2.0 Full Workflow Tutorial,UNKNOWN,https://www.youtube.com/watch?v=ePel1kHEl8I,UNKNOWN,UNKNOWN,Cinema Studio 2.0,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,STALE-RISK-HIGH,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,Duplicate-risk with _WgYXtoiE1Y. Audit only if the first fails.
higgsfield,Higgsfield Cinema Studio 2.0 Full Workflow Tutorial (alt),UNKNOWN,https://www.youtube.com/watch?v=P1QIiMgk4do,UNKNOWN,UNKNOWN,Cinema Studio 2.0,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,STALE-RISK-HIGH,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,Likely redundant. Reject on duplication unless it uniquely shows Elements/reference management.
higgsfield,Higgsfield Cinema Studio 2.5 Full Tutorial & Workflow,UNKNOWN,https://www.youtube.com/watch?v=UdWYf6Ck2ZM,2026-03/04 (approx),UNKNOWN,Cinema Studio 2.5,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,STALE-RISK-MED,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,2.5 added Soul Cast integration + post-production surface. Closest to current. LIKELY PRIMARY for the Higgsfield module.
higgsfield,Higgsfield Cinema Studio 2.5 Tutorial - Complete Workflow Guide,UNKNOWN,https://www.youtube.com/watch?v=jazMJOMGStc,2026-03/04 (approx),UNKNOWN,Cinema Studio 2.5,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,STALE-RISK-MED,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,Backup to UdWYf6Ck2ZM. Pick ONE of the two.
higgsfield,How To Use New Higgsfield AI Cinema Studio (EASY GUIDE 2026),UNKNOWN,https://www.youtube.com/watch?v=4fILmWtW48c,2026-03 (approx),UNKNOWN,UNKNOWN,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,STALE-RISK-MED,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,'EASY GUIDE' framing = high filler risk. Audit efficiency score hard before including.
higgsfield,How to ACTUALLY Use Higgsfield Cinema Studio (for Cinematic AI Videos),UNKNOWN,https://www.youtube.com/watch?v=w3ntgJwdXKE,UNKNOWN,UNKNOWN,UNKNOWN,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,STALE-RISK-MED,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,Title suggests corrective/technique framing rather than feature tour. Worth auditing for shot-craft content.
blender-ai-previs,How to control AI with Blender,Andrew Price (Blender Guru),https://www.youtube.com/watch?v=1vB3JXzewx0,2026-04 (approx),UNKNOWN,Blender 4.x/5.x,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,CURRENT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,"HIGHEST-PRIORITY CANDIDATE IN THE WHOLE COURSE. Reported to cover depth passes + ComfyUI + model generation - exactly the previs->AI bridge. Creator has a long track record of complete step-visible teaching. Audit at --detail balanced, full length."
blender-ai-previs,"COMPLETE Camera Tutorial Blender 5.1 | Animation, Depth of Field, Cinematic",UNKNOWN,https://www.youtube.com/watch?v=g_YOqMaoIyE,2026 (approx),UNKNOWN,Blender 5.1,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,CURRENT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,Version-matched to current Blender. Needed for focal length / DoF / camera animation. Watch only the camera-rig and animation chapters; skip lighting/look-dev.
blender-ai-previs,Blender to After Effects: Depth Pass Workflow EXR & AGX,UNKNOWN,https://www.youtube.com/shorts/i301RLKrYUQ,UNKNOWN,<60s (Short),UNKNOWN,NOT_WATCHED_EGRESS_BLOCKED,UNKNOWN,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,CURRENT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,PENDING-AUDIT,UNVERIFIED-CANDIDATE,"SHORT - use as a reminder card only, never as the teaching source. Zero reproducibility expected from a Short."
