score,tier,verification_status,title,company,salary,location,remote/hybrid/on-site,estimated_hours,hours_confidence,acting_compatibility_score,film_relevance,accessibility,reason_to_apply,red_flags,date_posted,verification_timestamp,direct_application_url
79.5,APPLY - GOOD FIT,UNCERTAIN,Research Associate for Budget and Entitlement Policy,Cato Institute,UNKNOWN,"Remote / hybrid / Washington, DC",Hybrid,32-34 h/wk,LIKELY,27.5,low,plausible,research writing; acting-compat 28/30; workload 20/20; ~32-34 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:11Z,https://jobs.lever.co/standtogether/3c3668aa-8698-416c-ab60-35dcb84feece
79.2,APPLY - GOOD FIT,UNCERTAIN,"Associate Media Researcher, Editorial Team",Muck Rack,UNKNOWN,Remote (US & Canada),Remote,36-39 h/wk,LIKELY,26.5,low,strong,research writing; acting-compat 26/30; workload 18/20; ~36-39 h/wk (LIKELY); accessibility: strong,none detected,UNKNOWN,2026-09-06T13:56:11Z,https://job-boards.greenhouse.io/muckrack/jobs/4907533002
78.0,APPLY - GOOD FIT,UNCERTAIN,"Roles across Operations (Grants, People, Tech, and Executive Support)",GiveWell,UNKNOWN,Remote (US),Remote,34-36 h/wk,UNCERTAIN,28.5,low,plausible,research writing; acting-compat 28/30; workload 20/20; ~34-36 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:12Z,https://job-boards.greenhouse.io/givewell/jobs/5378593008
77.2,APPLY - GOOD FIT,UNCERTAIN,Global HR Content Writer,G-P (Globalization Partners),UNKNOWN,Remote (US),Remote,35-37 h/wk,LIKELY,28.5,low,plausible,research writing; acting-compat 28/30; workload 19/20; ~35-37 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:12Z,https://job-boards.greenhouse.io/globalizationpartners/jobs/7817620003
76.5,APPLY - GOOD FIT,UNCERTAIN,Executive and Strategy Coordinator,Staten Island Museum,"$50,000","Staten Island, NY",On-site,35 h/wk,KNOWN,22.0,none,plausible,freedom professional; acting-compat 22/30; workload 20/20; ~35 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:12Z,https://www.idealist.org/en/nonprofit-job/3adb538577b04e0a9a7b8a4ccee32777-executive-and-strategy-coordinator-staten-island-museum-staten-island
75.0,APPLY - GOOD FIT,UNCERTAIN,Technical Writer,Tailscale,UNKNOWN,Remote (North America),Remote,33-35 h/wk,LIKELY,28.5,none,plausible,freedom professional; acting-compat 28/30; workload 20/20; ~33-35 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:13Z,https://job-boards.greenhouse.io/tailscale/jobs/4684062005
73.5,APPLY - GOOD FIT,UNCERTAIN,Platform and Content Operations Associate,PBS,UNKNOWN,"Remote / Arlington, VA",Remote,36-39 h/wk,UNCERTAIN,26.5,medium,plausible,content media; acting-compat 26/30; workload 17/20; ~36-39 h/wk (UNCERTAIN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:13Z,https://vhr-pbs.wd115.myworkdayjobs.com/en-US/PBSCareers/job/Platform-and-Content-Operations-Associate_JR1000311
73.2,APPLY - GOOD FIT,UNCERTAIN,AI Video Creative,Superside,UNKNOWN,Remote,Remote,36-39 h/wk,LIKELY,26.5,none,plausible,freedom professional; acting-compat 26/30; workload 18/20; ~36-39 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:14Z,https://jobs.lever.co/superside/2f6c22e6-0f88-4ef3-9612-157bcc0b9348
73.0,APPLY - GOOD FIT,UNCERTAIN,"Website Editorial Assistant, Bureau of Communications",City of New York,UNKNOWN,"Long Island City, NY",On-site,35 h/wk,KNOWN,22.0,low,plausible,research writing; acting-compat 22/30; workload 20/20; ~35 h/wk (KNOWN); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:14Z,https://jobs.smartrecruiters.com/CityOfNewYork/3743990005981096-website-editorial-assistant-bureau-of-communications
72.7,APPLY - GOOD FIT,UNCERTAIN,"Public Relations Writer (Full-Time, Remote)",Fuku,UNKNOWN,Remote (US),Remote,36-39 h/wk,LIKELY,26.5,none,plausible,freedom professional; acting-compat 26/30; workload 18/20; ~36-39 h/wk (LIKELY); accessibility: plausible,none detected,UNKNOWN,2026-09-06T13:56:15Z,https://apply.workable.com/fuku/j/37869F91A8/
